# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-t" "exon" "-g" "gene_id" "-a" "/data/yuyuan/rna_my/lettuce_v11/Lsat_Salinas_v11.genome.gtf" "-o" "4_quantification/gene_counts.txt" "3_bam/Bud_rep1.sorted.bam" "3_bam/Bud_rep2.sorted.bam" "3_bam/Bud_rep3.sorted.bam" "3_bam/cot_rep1.sorted.bam" "3_bam/cot_rep2.sorted.bam" "3_bam/cot_rep3.sorted.bam" "3_bam/F1_rep1.sorted.bam" "3_bam/F2_rep1.sorted.bam" "3_bam/L_rep1.sorted.bam" "3_bam/L_rep2.sorted.bam" "3_bam/L_rep3.sorted.bam" "3_bam/n_rep1.sorted.bam" "3_bam/n_rep2.sorted.bam" "3_bam/n_rep3.sorted.bam" "3_bam/O_rep1.sorted.bam" "3_bam/O_rep2.sorted.bam" "3_bam/O_rep3.sorted.bam" "3_bam/R_rep1.sorted.bam" "3_bam/R_rep2.sorted.bam" "3_bam/R_rep3.sorted.bam" "3_bam/S_rep1.sorted.bam" "3_bam/S_rep2.sorted.bam" "3_bam/S_rep3.sorted.bam" "3_bam/stem_rep1.sorted.bam" "3_bam/stem_rep2.sorted.bam" "3_bam/stem_rep3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	3_bam/Bud_rep1.sorted.bam	3_bam/Bud_rep2.sorted.bam	3_bam/Bud_rep3.sorted.bam	3_bam/cot_rep1.sorted.bam	3_bam/cot_rep2.sorted.bam	3_bam/cot_rep3.sorted.bam	3_bam/F1_rep1.sorted.bam	3_bam/F2_rep1.sorted.bam	3_bam/L_rep1.sorted.bam	3_bam/L_rep2.sorted.bam	3_bam/L_rep3.sorted.bam	3_bam/n_rep1.sorted.bam	3_bam/n_rep2.sorted.bam	3_bam/n_rep3.sorted.bam	3_bam/O_rep1.sorted.bam	3_bam/O_rep2.sorted.bam	3_bam/O_rep3.sorted.bam	3_bam/R_rep1.sorted.bam	3_bam/R_rep2.sorted.bam	3_bam/R_rep3.sorted.bam	3_bam/S_rep1.sorted.bam	3_bam/S_rep2.sorted.bam	3_bam/S_rep3.sorted.bam	3_bam/stem_rep1.sorted.bam	3_bam/stem_rep2.sorted.bam	3_bam/stem_rep3.sorted.bam
LOC111904182	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	11266728;11266837;11267120;11267371	11266756;11266945;11267260;11267463	-;-;-;-	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111904191	Lsat_v11_chr1	11309592	11310458	+	867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111904138	Lsat_v11_chr1;Lsat_v11_chr1	11334888;11335882	11335741;11336091	+;+	1064	229	195	241	33	32	53	50	91	47	13	8	48	47	55	66	58	90	107	116	70	104	88	69	224	299	288
LOC111904139	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	11379303;11379303;11379710;11379710;11380031;11380031;11380321;11380321;11380802;11380802	11379615;11379602;11379796;11379796;11380062;11380062;11380459;11380459;11381138;11381138	-;-;-;-;-;-;-;-;-;-	908	921	814	817	596	652	559	1052	582	380	1013	457	659	659	597	1055	1288	1141	725	794	607	784	715	768	928	841	1063
LOC111904140	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	11385392;11385392;11385410;11385411;11385411;11385411;11386219;11386219;11386219;11386219;11386219;11386219;11386527;11386527;11389045;11389045;11389045;11389045;11389045;11389045;11389212;11389212;11389212;11389212;11389242;11389242;11389746;11389746;11389746;11389746;11389746;11389746;11389907;11389907;11389907;11389907;11389907;11389907;11390104;11390104	11386021;11386021;11386021;11386021;11386021;11386021;11386323;11386323;11386323;11386323;11386323;11386323;11388396;11388396;11389129;11389129;11389129;11389129;11389129;11389129;11389337;11389337;11389337;11389337;11389337;11389337;11389813;11389813;11389813;11389813;11389813;11389813;11390019;11390019;11390018;11390014;11390019;11390019;11390606;11390612	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
LOC111904142	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	11427834;11428396;11428769;11429133;11429425;11429618;11429983;11430262;11432021	11428300;11428590;11429041;11429307;11429535;11429888;11430132;11431212;11432212	-;-;-;-;-;-;-;-;-	2785	14004	16955	16273	12553	16960	17992	10705	10416	17833	8691	10114	6235	5937	6806	5381	4795	4989	21633	16854	31801	25047	26500	30750	15616	13895	15926
LOC111904202	Lsat_v11_chr1	11456771	11456877	-	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC128131451	Lsat_v11_chr1	11474091	11474197	+	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111904143	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	11483638;11484599;11484906;11485118;11485298;11485760;11485945;11486156;11486492;11486984	11484463;11484796;11484991;11485199;11485443;11485873;11486043;11486234;11486636;11487142	-;-;-;-;-;-;-;-;-;-	1934	4287	4312	4231	2624	6832	7321	3886	4885	2542	9958	3037	2434	2068	1338	3261	6812	8918	3428	2579	4740	3586	4617	3696	3772	4167	3836
LOC111904144	Lsat_v11_chr1;Lsat_v11_chr1	11541637;11542583	11541998;11543606	-;-	1386	328	321	241	745	1389	1751	1386	1147	411	3737	511	501	599	420	1247	2869	3176	2912	2590	2258	878	1625	1085	595	637	486
LOC122194834	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	11591749;11593161;11593304;11593518;11593662;11593794	11592034;11593207;11593429;11593574;11593726;11593938	+;+;+;+;+;+	726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC111904145	Lsat_v11_chr1	11592221	11592883	+	663	2	2	0	0	0	0	6	0	0	0	0	0	0	1	2	0	0	5	5	0	0	0	1	2	2	1
LOC122194835	Lsat_v11_chr1;Lsat_v11_chr1	11634862;11636300	11634885;11637013	+;+	738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111904146	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	11647135;11648351;11648611;11648846;11649035;11649321	11647483;11648528;11648708;11648942;11649120;11649516	+;+;+;+;+;+	1004	1165	1243	1042	573	498	532	864	819	863	607	537	660	597	566	731	867	822	754	631	898	991	743	862	680	728	729
LOC111904147	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	11649853;11650177;11650651;11650857;11651136;11651268	11650066;11650244;11650702;11651035;11651169;11651409	-;-;-;-;-;-	689	3679	3521	3811	1554	1249	1127	5243	2870	1958	3807	2188	4034	2583	2718	5988	9106	6783	3210	3584	2276	3237	3082	2924	6156	8018	9739
LOC111904148	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	11843162;11843163;11845901;11846201;11846201;11847137;11847137;11847358;11847358;11847598;11847598;11847786;11847786;11848040;11848040	11843664;11843664;11846038;11846383;11846383;11847294;11847294;11847457;11847457;11847709;11847709;11847925;11847925;11848530;11848530	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1825	5339	4340	6599	554	783	1648	14836	11741	365	501	117	4993	1543	1969	5242	1963	984	70	10	126	164	206	151	6463	13941	12475
LOC128126981	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	11860625;11860742;11861268;11861801;11862116;11884710;11890717;11891322	11860670;11860852;11861543;11861995;11862205;11884799;11890952;11891372	+;+;+;+;+;+;+;+	1095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111904149	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	11914048;11914049;11914315;11914325;11915556;11915556;11915669;11915669;11915906;11915906;11915906;11915906;11916120;11916120;11916120;11916120;11916263;11916263;11916263;11916263;11916968;11916968;11916968;11916968;11917197;11917197;11917197;11917197	11914321;11914321;11914454;11914454;11915818;11915818;11915818;11915818;11916020;11916020;11916020;11916020;11916187;11916187;11916187;11916187;11916880;11916880;11916880;11916880;11917072;11917072;11917072;11917072;11917777;11917777;11917777;11917777	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2157	1772	1929	2186	813	1166	811	2650	1730	830	566	648	1629	1737	1623	1727	1035	1161	6763	7723	4933	4384	4107	4907	3367	3020	2972
LOC111904151	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	11918610;11918611;11919105;11919105;11919550;11919550;11920074;11920074;11920555;11920555	11918926;11918982;11919369;11919369;11919898;11919898;11920215;11920215;11921111;11921111	+;+;+;+;+;+;+;+;+;+	1686	1317	1247	1261	227	222	199	3016	4124	175	399	211	748	359	490	870	1159	1170	257	281	462	327	443	405	621	948	586
LOC111904152	Lsat_v11_chr1	11955260	11955826	+	567	8016	5477	6045	103	389	25	1676	1953	6071	46	2559	12	24	26	27	0	3	1939	2662	1790	2295	1752	2426	511	372	666
LOC111904153	Lsat_v11_chr1	11956451	11958294	-	1844	183	147	137	34	30	33	26	50	116	78	30	53	108	54	19	48	70	50	63	40	70	68	47	32	94	56
LOC111904194	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	11964617;11965295;11965481;11965723;11966694;11966938;11967134;11967808	11965006;11965366;11965572;11965809;11966852;11967036;11967276;11968208	-;-;-;-;-;-;-;-	1443	4525	8452	4504	716	1006	959	10538	12652	876	892	1236	1269	1462	1128	1662	1254	1604	1356	1308	1225	1538	1395	1652	2791	4144	4425
LOC122195810	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	11969144;11969149;11971762;11971762;11971943;11971943;11972195	11971139;11971139;11971812;11971812;11972030;11972593;11972593	+;+;+;+;+;+;+	2698	10	7	0	4	0	2	4	2	0	0	0	19	2	2	1	0	0	0	0	0	0	0	0	5	10	18
LOC111904154	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	12032903;12032990;12033401;12034013;12034013;12034250;12034250;12034426;12034426;12034662;12034662;12034920;12034920;12035198;12035198	12033013;12033013;12033448;12034059;12034059;12034326;12034326;12034555;12034555;12034821;12034821;12035105;12035105;12035561;12035561	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1123	8472	8368	8001	2888	3005	2783	7293	6658	7417	18117	9139	5407	5178	4005	5834	11131	17215	5878	6372	5747	8008	7739	7140	5272	6158	4985
LOC111904195	Lsat_v11_chr1	12036097	12037116	-	1020	12	2	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAY-GUA	Lsat_v11_chr1;Lsat_v11_chr1	12037778;12037826	12037813;12037862	-;-	73	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111904155	Lsat_v11_chr1;Lsat_v11_chr1	12037917;12038344	12038201;12038629	-;-	571	616	779	873	56	84	22	403	286	708	22	359	13	30	22	16	4	0	379	531	291	432	350	489	288	294	400
LOC111904156	Lsat_v11_chr1	12039534	12041460	-	1927	785	703	617	272	429	438	262	487	406	440	124	157	136	106	284	320	376	459	392	555	446	709	477	294	297	295
LOC111904186	Lsat_v11_chr1;Lsat_v11_chr1	12075062;12076826	12075993;12077198	-;-	1305	0	0	2	0	0	0	148	203	0	0	12	4	0	8	16	0	6	48	51	143	2	6	8	627	890	258
LOC111904157	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	12182900;12183474;12184005;12184210;12184442;12184954;12185289	12183377;12183575;12184133;12184344;12184588;12185028;12185523	+;+;+;+;+;+;+	1301	2932	2704	2553	1570	1408	1030	1880	1172	4153	2277	4004	1933	2453	2015	2254	2220	2359	1753	1965	1316	2711	2226	2726	2166	2250	2034
LOC111904158	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	12198695;12199253;12199590	12198908;12199351;12201461	+;+;+	2185	1519	1666	1452	837	946	1350	1080	1197	1391	1915	1079	1106	1084	1085	1439	1886	2161	2986	2129	4403	2281	2752	2661	1462	1611	1454
LOC111904159	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	12220879;12221489;12221705;12221988;12222231	12221116;12221618;12221905;12222155;12222848	+;+;+;+;+	1355	1236	1239	1239	617	781	793	1109	923	789	1612	700	714	769	644	863	1416	1630	945	914	1089	935	1006	863	858	772	721
LOC111904160	Lsat_v11_chr1;Lsat_v11_chr1	12224244;12224756	12224608;12225201	+;+	811	2187	1798	2028	10905	9182	5726	4411	3269	14721	5668	30440	27370	31190	31309	18556	7353	6141	10	44	27	790	631	399	874	522	621
LOC111904161	Lsat_v11_chr1;Lsat_v11_chr1	12247701;12248153	12248064;12248639	+;+	851	463	363	417	574	485	475	404	396	400	286	596	2271	1675	2014	2223	1244	788	391	244	308	314	287	454	1291	1171	1155
LOC111904162	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	12250026;12250026;12250026;12254582;12254582;12254582;12254732;12254732;12254732;12255206;12255206;12255206;12255655;12255655;12255655;12255811;12255811;12255811;12256125;12256125;12256125;12256283;12256283;12256283;12256493;12256493;12256493;12257635;12258438;12258438;12258438	12251499;12251499;12251499;12254651;12254651;12254651;12254825;12254825;12254825;12255303;12255303;12255303;12255723;12255723;12255723;12256025;12256025;12256025;12256173;12256173;12256173;12256402;12256402;12256402;12257919;12257566;12257566;12257919;12258771;12258771;12258771	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3950	2778	2591	2910	1111	1813	2684	1281	1506	1115	819	436	1017	891	924	1159	1048	952	2285	1665	2377	1465	1717	1324	1512	1405	1418
LOC111904163	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	12339091;12340890;12341014;12341369;12341689;12342136	12340809;12340945;12341286;12341611;12341931;12342336	+;+;+;+;+;+	2735	747	679	795	442	726	940	1057	1234	404	1228	420	1060	909	712	1345	1415	1500	665	614	735	609	772	535	584	659	570
LOC111904165	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	12343290;12344735;12345058	12343623;12344853;12345613	-;-;-	1009	7156	6079	6421	609	559	212	1333	912	3427	86	2199	272	326	375	122	35	59	751	618	887	1610	1152	1761	214	121	171
LOC111904166	Lsat_v11_chr1	12396089	12399431	+	3343	167	164	262	54	112	123	62	107	134	66	17	12	28	19	26	40	52	157	83	117	71	148	82	40	40	29
LOC111904167	Lsat_v11_chr1	12399525	12400600	+	1076	9	23	59	18	23	96	50	100	46	8	120	11	80	84	0	8	4	10	4	468	75	487	266	95	375	68
LOC111904168	Lsat_v11_chr1	12405868	12407992	-	2125	127	90	125	34	118	102	62	47	73	174	66	116	138	62	55	85	116	166	120	128	95	127	64	252	293	256
LOC111904169	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	12464388;12464728;12464939;12465203;12465564;12465785	12464610;12464764;12465034;12465482;12465683;12466148	+;+;+;+;+;+	1120	4949	5056	4930	568	473	374	8771	10197	1721	73	610	492	673	783	296	38	76	172	329	166	3098	2231	2597	4115	5450	5404
LOC111904171	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	12502787;12502789;12503041;12503041;12503364;12503364;12503526;12503526;12503679;12503679;12503805;12503805;12504016;12504016;12504177;12504177	12502948;12502948;12503117;12503117;12503417;12503417;12503582;12503582;12503719;12503719;12503873;12503879;12504095;12504095;12504450;12504450	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	820	1713	1682	1479	943	731	719	1951	1312	1518	2714	3569	3182	3717	3691	3715	3575	2873	1054	1104	674	1640	1103	1463	2280	1792	2170
LOC111904170	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	12504598;12505451;12505791;12506065	12505361;12505674;12505975;12507805	-;-;-;-	2914	74	234	68	125	68	54	56	74	226	496	284	50	48	25	69	135	153	194	170	645	104	135	337	97	93	150
LOC111904172	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	12515189;12516067;12516289;12516448;12517016;12517508;12519310	12515834;12516191;12516362;12516850;12517281;12517613;12519553	-;-;-;-;-;-;-	1864	1720	1586	1660	299	620	736	684	856	832	542	315	394	279	317	426	547	619	1041	781	1062	1021	1303	961	432	601	458
LOC111904173	Lsat_v11_chr1	12553646	12554160	-	515	933	1095	1043	1103	895	766	3579	3628	449	127	664	722	1177	1332	368	133	146	40	92	62	342	299	329	1826	1140	2296
LOC111904176	Lsat_v11_chr1;Lsat_v11_chr1	12598479;12600503	12599093;12600768	-;-	881	285	271	329	226	373	415	1014	1287	237	211	97	126	134	156	229	298	243	459	397	370	316	273	309	446	346	476
LOC111904177	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	12602779;12603578;12604090;12604630	12603499;12603979;12604314;12604999	-;-;-;-	1718	1008	938	824	988	1442	1734	1268	1769	872	335	352	327	246	228	378	445	605	1465	1096	1418	722	612	504	1052	842	985
LOC111904178	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	12613136;12613479;12613692	12613319;12613604;12614096	-;-;-	715	24918	21232	25344	189176	122111	106945	21443	14973	63619	17325	105262	145515	136982	163223	76116	32823	26399	9	78	45	13460	12184	8804	31029	23260	27591
LOC111904179	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	12630478;12631893;12632171;12632348;12633362;12633734;12634032;12634314;12634552;12634894	12631234;12631965;12632238;12632436;12633559;12633938;12634199;12634481;12634742;12635307	+;+;+;+;+;+;+;+;+;+	2331	949	940	892	491	633	826	965	1176	941	520	1105	381	461	423	406	296	448	915	743	899	915	877	1152	781	710	809
LOC111904180	Lsat_v11_chr1;Lsat_v11_chr1	12661902;12662648	12662487;12663235	+;+	1174	4593	3911	5088	657	1145	2655	1980	1529	495	1215	577	4065	3999	3560	4294	587	692	4147	5693	1989	12013	11090	12640	18936	17730	8700
LOC111904181	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	12685653;12686709;12687717;12688199;12688334	12686584;12687176;12688094;12688266;12688803	+;+;+;+;+	2316	3875	3766	4008	2560	3185	2448	1061	1128	3448	1621	1727	2984	3065	3036	3261	2236	3244	1779	1731	1644	2515	2740	2514	3453	3784	3114
LOC111904201	Lsat_v11_chr1	12825571	12825677	+	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111904200	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	12863175;12863450;12863804;12864155;12864401	12863363;12863721;12864070;12864292;12864538	+;+;+;+;+	1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111904190	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	12893430;12894835;12894907;12896403;12896403;12897236;12897236	12893782;12895105;12895105;12896678;12896678;12897961;12897961	+;+;+;+;+;+;+	1626	30	101	38	0	4	10	6	4	32	0	32	2	4	32	12	0	0	25	10	12	24	8	20	20	24	38
LOC111887800	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	12975225;12975858;12976110;12977006;12977518	12975737;12976028;12976380;12977326;12977622	-;-;-;-;-	1381	746	796	723	408	644	548	802	527	783	1147	753	309	347	306	371	581	761	980	925	931	1041	943	1049	762	756	865
LOC111898184	Lsat_v11_chr1;Lsat_v11_chr1	13057911;13058198	13058111;13058818	+;+	822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111898182	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	13059488;13060673;13061054;13061368;13061567	13059876;13060753;13061155;13061442;13061810	+;+;+;+;+	891	3870	3782	4284	3010	2984	2824	1437	1268	15830	3075	11470	8081	8061	8467	6665	3665	3116	393	398	395	1623	1693	1423	1154	1142	1206
